n
"(:Person {简介: ""周亮星，1915年出生于广东潮南区峡山镇东宅村，15岁赴香港谋生，凭借勤奋和智慧，从雇员成长为成功的商人，创立了多家企业。作为香港潮州公学的创办人之一和执行校董，他不仅在商业上取得成功，更在社会职务上发挥了重要作用，包括港九潮州公会永远名誉会长和香港潮阳同乡会副监事长等。1983年，他被邀请担任汕头市政协委员，进一步加深了与家乡的联系。周亮星先生情系桑梓，自1989年以来，他带头捐资及独资支援家乡办教育，积极参与家乡基础设施建设，为陈弼臣家族捐资兴建峡山学校费尽心血。他组织港澳潮汕访问团，倡议并组织“香港青少年夏令营”到潮汕观光、寻根问祖，加强了港澳潮籍后裔对家乡的观念，促进了两地青少年之间的友谊和文化交流。同时，他积极参与香港公益事业，包括赈灾与慈善活动，1962年香港遭受台风袭击时，他带头捐资捐物，赈济灾民。周亮星先生的一生，是推动香港与家乡潮汕地区教育、公益事业以及文化交流的一生，他的无私奉献和辛勤付出，为两地的和谐发展做出了不可磨灭的贡献，他的善举和义举为家乡人民所称道，他的精神将永远激励着后人。"",name: ""周亮星"",time: ""2025-05-31T17:35:00.889913""})"
"(:Person {简介: ""姚勇和姚宾兄弟，祖籍广东潮阳，是中老友谊的杰出践行者和商业传奇人物。姚宾在20世纪80年代末出国创业，最初在泰国从事外贸生意，后于1989年发现老挝市场潜力巨大，决定在老挝发展。他们从贸易起步，逐渐扩展到建筑、房地产、酒店和旅游等多个领域，构建起庞大的商业帝国。姚宾被誉为“最信任的中国女婿”，而姚勇则担任老挝中华总商会副会长和山西省侨联海外顾问。兄弟俩不仅在商业上取得巨大成功，还积极推动中老两国的合作项目，如东盟运动会主体育场、万象瓦岱国际机场等，并在慈善事业上做出了显著贡献，包括赞助万象市政府大楼、广州亚运会老挝体育代表团等。他们的家族企业老挝吉达蓬集团公司已成为老挝国内最具综合实力的企业之一。姚氏兄弟在华人圈和老挝政商各界享有极高的声誉，被认为是“老挝最慷慨、最热衷慈善事业的富人”。他们的故事不仅是商业传奇，更是中老友谊的生动写照，展现了潮汕人的拼搏精神和爱国情怀。"",name: ""姚勇、姚宾兄弟"",time: ""2025-05-31T17:35:15.631319""})"
"(:Person {简介: ""庄炳基，一位泰国第三代华侨，1940年出生于泰国，祖籍广东省汕头市。1956年，他响应时代感召，离开泰国回归祖国，投身于新中国的建设。庄先生长期从事教育工作，曾任杭州市人民警察学校校长，直至2001年退休。他的经历见证了泰国华文教育的变迁、新中国改革开放的进程以及归国华侨政策的发展。庄先生不仅在教育和公安战线作出了卓越贡献，而且始终心系祖国，其深厚的爱国情怀和对信息时代挑战的深刻思考，体现了他对祖国永恒的爱和坚定的信念。他的故事不仅是个人奋斗的缩影，也是新中国发展时期归国华侨命运变迁的见证，展现了他对祖国的深情和对时代变迁的深刻理解。"",name: ""庄炳基"",time: ""2025-05-31T17:48:18.362506""})"
"(:Person {简介: ""庄雪卿，一位潮汕地区解放前罕见的女“批脚”，以其丈夫身份接替成为送批人，展现了非凡的责任感和敬业精神。她对待工作一丝不苟，即使面对多年失联的侨批，也能不遗余力地寻找到收批人。在处理一封无法找到收批人的“死批”时，庄雪卿展现了她的智慧和坚持，从暹罗寄批人的名字入手，最终在一户侨眷家中的白铁盒内找到了关键的侨批，揭示了一段因家庭变故而失散多年的亲情。她的这一行为不仅体现了对工作的极致负责，也彰显了对侨胞家庭的深切关怀。庄雪卿还严格遵守国家对侨眷汇款的保密规定，赢得了侨眷的极大信赖。她不仅是侨务工作的热心耕耘者，也是家乡公益与文化传承的积极推动者，她的贡献和经历为潮汕地区的侨胞历史增添了一抹亮色。"",name: ""庄雪卿"",time: ""2025-05-31T17:48:31.624000""})"
"(:Person {简介: ""廖奕铭，一位旅泰华侨的后代，不仅继承了家族在潮州的清代中期“大夫第”宅院，而且以深厚的文化使命感和创新精神，将这座古宅转化为文化传承与旅游发展的新地标。他的童年与祖宅的深厚情感，激发了他修复并活化这座宅院的决心，使之成为潮州首家清代民居改造的民宿——载阳客栈，以及后来的载阳茶馆，成为展示潮州文化的标志性场所。廖奕铭的努力不仅让古宅焕发新生，更通过侨批展览、侨文化传播中心等项目，强化了海外潮人与故土的情感联系，推动了古城文旅融合，为潮州古城的保护与发展做出了卓越贡献。他的故事，是侨胞精神的现代诠释，也是文化复兴的生动实践。"",name: ""廖奕铭"",time: ""2025-05-31T17:48:44.457945""})"
"(:Person {简介: ""张乙坤，1972年2月出生于广东省普宁市燎原泥沟村，2000年移居新西兰，成为新西兰潮属总会创会会长。他不仅是一位成功的企业家，还是中外友谊的桥梁，致力于推动新西兰与中国、潮汕地区的经贸文化交流与合作。张乙坤以其卓越的领导力和深厚的家乡情怀，被选为国际潮团总会永远荣誉主席、执行主席，肩负起团结全球潮人的使命。他慷慨捐资数千万元支持家乡建设，尤其在教育和文化传承方面做出了巨大贡献，包括无偿捐赠珍贵文物给潮州市博物馆，推动海外文物“回家”。张乙坤先生以其杰出的成就和无私的奉献精神，成为新一代海外潮籍侨领的杰出代表，是融通中外友谊的桥梁的优秀践行者。"",name: ""张乙坤"",time: ""2025-05-31T17:49:07.084403""})"
"(:Person {简介: ""张恭良与张恭荣兄弟，这两位杰出的侨胞，以其深厚的家乡情感和无私的奉献精神，成为了葛洲村乃至粤东地区侨爱精神的代表。张恭良，1907年出生于葛洲村，后移居泰国，成为了当地知名的企业家。1980年，他回到故乡，目睹家乡教育的落后，毅然决定捐资兴办葛洲学校，累计捐款超过2000万元，极大地改善了当地的教育条件。他的弟弟张恭荣，1924年出生于香港，继承了兄长的慈善精神，不仅捐资400多万元继续支持葛洲学校的发展，还额外捐资230万元建设了葛洲恭荣幼儿园，为家乡的幼儿教育提供了优质的环境。兄弟二人及其家族的持续贡献，使得葛洲村荣获“侨爱新村”的美誉，成为侨胞回馈家乡、推动发展的典范。他们的故事不仅体现了侨胞对家乡的深情厚谊，也展现了他们对教育的重视和对社会和谐的促进，激励着更多的侨胞为家乡的发展贡献力量。"",name: ""张恭良、张恭荣"",time: ""2025-05-31T17:49:21.014935""})"
"(:Person {简介: ""张朝江，泰国“米业大王”，原名素察·色蒂汪，1926年出生于泰国，祖籍中国广东省汕头市潮南区。他从码头苦力起步，凭借勤劳和智慧，逐步发展成为泰华地区米业大亨，年出口大米超过50万吨。张朝江以其精明能干、胆识过人著称，成功将泰国大米运销至苏联，被誉为泰华商界“常胜将军”。他不仅在商业上取得巨大成功，还积极投身慈善事业，创立是乐园慈善基金会，致力于服务社会公共健康事业。张朝江心系故里，为家乡捐建学校、道路和改水工程，用“赤子精诚，润泽桑梓”赢得了乡亲的称颂。他的故事与潮汕深厚的祠堂文化紧密相连，体现了海外潮汕人血脉相连的精神家园和家族传承的重要性。张朝江的一生，是海外潮商勤劳精明、诚信抱团、乐善好施的典范。"",name: ""张朝江"",time: ""2025-05-31T17:49:34.492017""})"
"(:House {name: ""陋室侨宅"",time: ""2025-06-04T07:22:20.167236""})"
"(:Person {简介: ""张武帮，1917年出生于广东省揭西县河婆街道北坑村，家中排行第三。他的童年在贫困中度过，父亲早逝后，母亲黄乐齐独自挑起养家重担。1929年，12岁的张武帮随家人飘洋过海到马来西亚谋生，开始了异国他乡的艰难创业。从杂货店店员做起，张武帮凭借刻苦奋斗的意志和过人的智慧，逐渐在商业上取得成功，成为马来西亚著名的实业家。尽管身居异国，张武帮始终心系故里，自1982年至2007年间，累计捐资3100多万元，为家乡的教育、医疗、水利水电、交通道路等公益事业做出了巨大贡献，特别是在教育领域的捐资建设，如张武帮中学的建立，极大地提升了当地的教育水平。他的慈善行为不仅在家乡揭西受到赞誉，也在侨居国马来西亚有所体现，特别是在支持华文教育方面。张武帮的一生是潮汕人坚韧不拔、诚信奋斗、心系桑梓、乐善好施精神的典范，他的故事和贡献将永远激励着后人。"",name: ""张武帮"",time: ""2025-05-31T17:50:32.538318""})"
"(:Person {简介: ""张煜南，汕头华侨，是中国近代史上一位杰出的实业家和爱国者。他出生于广东梅州，早年因家贫辍学，却凭借坚韧不拔的精神和卓越的商业头脑，在南洋巴达维亚（今雅加达）成功建立了自己的商业帝国，涉足橡胶、咖啡种植和金融业，成为当地华侨首富。张煜南不仅在商业上取得巨大成功，更以实业救国为己任，1903年回国投身潮汕铁路建设，与兄弟共同出资百万银元，并成功募集资金，邀请詹天佑设计，最终在1906年建成中国第一条由华侨集资兴建的商办铁路，极大地促进了潮汕地区的经济发展和货物流通。他的一生，是海外华侨奋斗精神和爱国情怀的典范，他的贡献不仅在于经济上的成功，更在于他为国家和民族的实业发展所做出的巨大努力和牺牲，成为后世传颂的楷模。"",name: ""张煜南"",time: ""2025-05-31T17:50:45.617474""})"
"(:Person {简介: ""徐惠深，一位潮汕侨胞，以其深厚的家乡情怀和卓越的商业才能，在泰国社会中留下了深刻的印记。他不仅继承并发展了家族生意，将泰华药材行转型为多元化的韩江Clsuton实业公司，还创办了潮州商业大众保险公司，为当地社区提供保险服务。在泰国潮州会馆，徐惠深担任过多个重要职务，包括副主席和主席，推动会馆在团结潮汕裔侨胞、传承潮汕文化、促进泰潮交流等方面发挥了重要作用。他对华文教育的推动，尤其是支持建立华文学校，为潮汕裔侨胞子弟学习中文创造了条件。徐惠深还积极参与家乡汕头的建设，通过慈善捐款、投资建厂和支持文化传承，展现了他对家乡的深情和责任感。他的努力不仅限于泰国和中国，还积极促进泰中两国在多个领域的交流与合作，为增进两国人民的友谊做出了贡献。徐惠深以其坚韧不拔的精神、热心公益的态度、对文化传承的担当以及侨领的典范作用，赢得了广泛的尊重和赞誉。"",name: ""徐惠深"",time: ""2025-05-31T17:50:59.332665""})"
"(:Person {简介: ""文瑞潮先生，一位祖籍潮州潮安区凤凰镇下埔村的杰出侨胞，以其深厚的潮汕文化情怀和卓越的领导才能，在法国潮州会馆的发展和潮汕文化的海外传播中扮演了重要角色。40多年前，他从柬埔寨前往法国，凭借在餐饮业的起步和对地产行业的敏锐洞察，积累了丰富的经验和资金。文先生不仅在商业上取得成功，还致力于中法经贸合作与文化交流，推动了两国在多个领域的合作项目。作为法国潮州会馆的会长，他积极推进会馆内部管理与建设，拓展服务职能，增强了会馆的凝聚力和国际影响力。文先生还积极参与国际潮团联谊年会，与全球潮团领袖交流合作，共同推动潮汕文化在海外的传承与发展。他的努力不仅促进了中法之间的经贸往来和文化交流，也为全球潮人社区的团结合作做出了巨大贡献。文瑞潮先生的贡献，不仅体现在他对法国潮州会馆的领导和对潮汕文化的推广上，更在于他对中法友好关系和全球潮人团结的不懈推动。他的故事，是潮汕侨胞在海外奋斗和贡献的生动写照。"",name: ""文瑞潮"",time: ""2025-05-31T17:51:13.551596""})"
